ativo|target|data|target_real|resultado_real|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.01|2022-01-20|0|-0.0250954073134479|1|1|1.0
VALE3|1.01|2022-01-21|1|0.01|1|1|1.0
VALE3|1.01|2022-01-24|1|0.01|0|1|1.0
VALE3|1.01|2022-01-25|0|-0.058556460238097|1|1|1.0
VALE3|1.01|2022-01-26|1|0.01|1|1|1.0
VALE3|1.01|2022-01-27|0|0.0024538416663346|1|1|1.0
VALE3|1.01|2022-01-28|1|0.01|0|0|0.0
VALE3|1.01|2022-01-31|1|0.01|1|1|1.0
VALE3|1.01|2022-02-01|1|0.01|1|1|1.0
VALE3|1.01|2022-02-02|1|0.01|1|1|1.0
VALE3|1.01|2022-02-03|1|0.01|0|1|1.0
VALE3|1.01|2022-02-04|1|0.01|0|1|1.0
VALE3|1.01|2022-02-07|1|0.01|0|0|0.0
VALE3|1.01|2022-02-08|1|0.01|0|0|0.0
VALE3|1.01|2022-02-09|1|0.01|0|0|0.0
VALE3|1.01|2022-02-10|0|-0.0413453365453654|0|0|0.0
VALE3|1.01|2022-02-11|1|0.01|1|1|1.0
VALE3|1.01|2022-02-14|1|0.01|0|1|1.0
VALE3|1.01|2022-02-15|1|0.01|0|1|1.0
VALE3|1.01|2022-02-16|0|-0.0164321870473456|0|1|1.0
VALE3|1.01|2022-02-17|1|0.01|1|1|1.0
VALE3|1.01|2022-02-18|1|0.01|1|1|1.0
VALE3|1.01|2022-02-21|1|0.01|1|1|1.0
VALE3|1.01|2022-02-22|1|0.01|1|1|1.0
VALE3|1.01|2022-02-23|1|0.01|1|1|1.0
VALE3|1.01|2022-02-24|1|0.01|1|1|1.0
VALE3|1.01|2022-02-25|1|0.01|1|1|1.0
VALE3|1.01|2022-03-02|1|0.01|1|1|1.0
VALE3|1.01|2022-03-03|1|0.01|1|1|1.0
VALE3|1.01|2022-03-04|1|0.01|1|1|1.0
VALE3|1.01|2022-03-07|0|-0.0605559186066588|1|1|1.0
VALE3|1.01|2022-03-08|1|0.01|1|1|1.0
VALE3|1.01|2022-03-09|1|0.01|1|1|1.0
VALE3|1.01|2022-03-10|1|0.01|0|1|1.0
VALE3|1.01|2022-03-11|0|-0.007159397750486|1|1|1.0
VALE3|1.01|2022-03-14|1|0.01|1|1|1.0
VALE3|1.01|2022-03-15|1|0.01|1|1|1.0
