ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.02,2022-06-28,RandomForest_75,1.0,1.0
PETR4,1.015,2022-06-28,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-06-28,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-06-29,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-06-29,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-06-29,RandomForest_75,1.0,1.0
PETR4,1.015,2022-06-30,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-06-30,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-06-30,RandomForest_75,1.0,1.0
PETR4,1.015,2022-07-01,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-01,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-01,RandomForest_75,1.0,1.0
PETR4,1.015,2022-07-04,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-04,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-07-04,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-07-05,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-05,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-07-05,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-06,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-06,RandomForest_90,1.0,1.0
PETR4,1.015,2022-07-06,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-07-07,RandomForest_90,1.0,1.0
PETR4,1.01,2022-07-07,RandomForest_90,1.0,1.0
PETR4,1.015,2022-07-07,RandomForest_60,1.0,1.0
PETR4,1.01,2022-07-08,RandomForest_90,1.0,1.0
PETR4,1.015,2022-07-08,RandomForest_90,1.0,1.0
PETR4,1.02,2022-07-08,RandomForest_60,1.0,1.0
PETR4,1.015,2022-07-11,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-11,RandomForest_90,1.0,1.0
PETR4,1.01,2022-07-11,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-07-12,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-12,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-12,RandomForest_60,1.0,1.0
PETR4,1.015,2022-07-13,RandomForest_75,1.0,1.0
PETR4,1.01,2022-07-13,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-13,RandomForest_75,1.0,1.0
PETR4,1.01,2022-07-14,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-14,RandomForest_90,0.0,0.0
PETR4,1.015,2022-07-14,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-07-15,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-15,RandomForest_75,0.0,0.0
PETR4,1.015,2022-07-15,RandomForest_75,1.0,1.0
PETR4,1.01,2022-07-18,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-18,RandomForest_75,1.0,1.0
PETR4,1.015,2022-07-18,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-19,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-19,RandomForest_60,0.0,0.0
