ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
PETR4|1.02|2021-01-07|9.218185|9.021927|9.021927|9.262789|2.19965794762117|2.226005191215084|0.0263472435939138|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2021-01-08|9.253869|9.354971|9.024901|9.44418|2.2359078597746955|2.24539867876209|0.0094908189873943|0|1|1|1.0|9.354971|0.009535999630570585|1.0|0.0|9.354971|0.009535999630570585|1.0|0.0|9.354971|0.009535999630570585|1.0|0.0
PETR4|1.02|2021-01-11|9.176555|9.102215|9.039769|9.236027|2.2085177904976323|2.223111814831414|0.0145940243337823|0|0|0|0.0|9.354971|-0.012714523647374302|2.0|0.0|9.354971|-0.012714523647374302|2.0|0.0|9.354971|-0.012714523647374302|2.0|0.0
PETR4|1.02|2021-01-12|9.108162|9.253869|9.108162|9.384707|2.225041734343979|2.239081449519151|0.0140397151751718|0|0|1|0.0|9.354971|0.0031786309118435278|3.0|0.0|9.354971|0.0031786309118435278|3.0|0.0|9.354971|0.0031786309118435278|3.0|0.0
PETR4|1.02|2021-01-13|8.668068|9.12303|8.623464|9.176555|2.210801985749907|2.2166518618689617|0.0058498761190546|0|0|1|1.0|9.354971|-0.019071785471061357|4.0|8.668068|9.354971|-0.019071785471061357|4.0|8.668068|9.354971|-0.019071785471061357|4.0|8.668068
PETR4|1.02|2021-01-14|8.757276|8.674015|8.540203|8.822695|2.160331774717651|2.177327378901664|0.0169956041840126|0|0|1|1.0|0.0|0.0|0.0|0.0|8.674015|0.017140851151398608|1.0|0.0|8.674015|0.017140851151398608|1.0|0.0
PETR4|1.02|2021-01-15|8.361786|8.638332|8.335024|8.647253|2.156209508622786|2.157241698252706|0.0010321896299196|0|0|0|0.0|0.0|0.0|0.0|0.0|8.674015|-0.003085307092505778|2.0|0.0|8.674015|-0.003085307092505778|2.0|0.0
PETR4|1.02|2021-01-18|8.346918|8.418285|8.329076|8.57886|2.1304061257980846|2.1493010375393844|0.0188949117412997|0|0|0|0.0|0.0|0.0|0.0|0.0|8.674015|-0.010970121679522124|3.0|0.0|8.674015|-0.010970121679522124|3.0|0.0
PETR4|1.02|2021-01-19|8.531282|8.468836|8.219053|8.581833|2.1363930730099625|2.149647527046509|0.0132544540365464|0|0|1|1.0|0.0|0.0|0.0|0.0|8.674015|-0.010627373828613519|4.0|8.531282|8.674015|-0.010627373828613519|4.0|8.531282
PETR4|1.02|2021-01-20|8.388549|8.608596|8.358813|8.659147|2.15276123894081|2.1586162188777487|0.0058549799369385|0|0|1|1.0|0.0|0.0|0.0|0.0|8.608596|0.005872153833215132|1.0|0.0|8.608596|0.005872153833215132|1.0|0.0
PETR4|1.02|2021-01-21|8.192291|8.33205|8.180396|8.445047|2.1201095243408736|2.133580115667604|0.0134705913267305|0|0|1|1.0|0.0|0.0|0.0|0.0|8.608596|-0.018998336081748952|2.0|0.0|8.608596|-0.018998336081748952|2.0|0.0
PETR4|1.02|2021-01-22|8.055505|8.007927|7.897903|8.100109|2.080431926087254|2.0918775183779745|0.0114455922907206|0|0|1|1.0|0.0|0.0|0.0|0.0|8.608596|-0.05906735546655931|3.0|0.0|8.608596|-0.05906735546655931|3.0|0.0
PETR4|1.02|2021-01-26|8.028742|8.103082|7.975217|8.317182|2.092244483136134|2.118323495537589|0.0260790124014547|1|0|1|1.0|0.0|0.0|0.0|0.0|8.608596|-0.033851513069030024|4.0|8.028742|8.608596|-0.033851513069030024|4.0|8.028742
PETR4|1.02|2021-01-27|8.141739|7.972244|7.888982|8.376654|2.075966009007097|2.12544855074936|0.0494825417422628|1|0|1|1.0|0.0|0.0|0.0|0.0|7.972244|0.05072724818758688|0.0|8.13168888|7.972244|0.05072724818758688|0.0|8.13168888
PETR4|1.02|2021-01-28|8.254736|8.123898|8.120924|8.459915|2.0948100882478857|2.135339126286334|0.0405290380384482|1|1|1|1.0|0.0|0.0|0.0|0.0|8.123898|0.04136154836015912|0.0|8.28637596|8.123898|0.04136154836015912|0.0|8.28637596
PETR4|1.02|2021-01-29|7.93656|8.18337|7.93656|8.230947|2.102104046214113|2.1079010748979745|0.0057970286838613|0|0|1|1.0|8.18337|0.005813863970466987|1.0|0.0|8.18337|0.005813863970466987|1.0|0.0|8.18337|0.005813863970466987|1.0|0.0
